Date,Time,Intensity (Lux) c:2
09/01/21,07:00:00,0.0
09/01/21,07:05:00,0.0
09/01/21,07:10:00,527.4
09/01/21,07:15:00,516.7
09/01/21,07:20:00,484.4
09/01/21,07:25:00,312.2
09/01/21,07:30:00,301.4
09/01/21,07:35:00,290.6
09/01/21,07:40:00,312.2
09/01/21,07:45:00,3272.2
09/01/21,07:50:00,2066.7
09/01/21,07:55:00,505.9
09/01/21,08:00:00,441.3
09/01/21,08:05:00,183.0
09/01/21,08:10:00,656.6
09/01/21,08:15:00,8611.2
09/01/21,08:20:00,9300.1
09/01/21,08:25:00,9300.1
09/01/21,08:30:00,8266.7
09/01/21,08:35:00,12400.1
09/01/21,08:40:00,11022.3
09/01/21,08:45:00,12400.1
09/01/21,08:50:00,16533.4
09/01/21,08:55:00,66133.8
09/01/21,09:00:00,68889.3
09/01/21,09:05:00,68889.3
09/01/21,09:10:00,44089.2
09/01/21,09:15:00,23422.4
09/01/21,09:20:00,31689.1
09/01/21,09:25:00,20666.8
09/01/21,09:30:00,28933.5
09/01/21,09:35:00,24800.2
09/01/21,09:40:00,28933.5
09/01/21,09:45:00,30311.3
09/01/21,09:50:00,44089.2
09/01/21,09:55:00,37200.2
09/01/21,10:00:00,16533.4
09/01/21,10:05:00,19289.0
09/01/21,10:10:00,23422.4
09/01/21,10:15:00,27555.7
09/01/21,10:20:00,22044.6
09/01/21,10:25:00,18600.1
09/01/21,10:30:00,12400.1
09/01/21,10:35:00,15844.5
09/01/21,10:40:00,27555.7
09/01/21,10:45:00,26178.0
09/01/21,10:50:00,49600.3
09/01/21,10:55:00,33066.9
09/01/21,11:00:00,19977.9
09/01/21,11:05:00,21355.7
09/01/21,11:10:00,22044.6
09/01/21,11:15:00,22044.6
09/01/21,11:20:00,22044.6
09/01/21,11:25:00,30311.3
09/01/21,11:30:00,27555.7
09/01/21,11:35:00,23422.4
09/01/21,11:40:00,24800.2
09/01/21,11:45:00,24800.2
09/01/21,11:50:00,20666.8
09/01/21,11:55:00,26178.0
09/01/21,12:00:00,23422.4
09/01/21,12:05:00,19289.0
09/01/21,12:10:00,22044.6
09/01/21,12:15:00,22044.6
09/01/21,12:20:00,21355.7
09/01/21,12:25:00,15155.7
09/01/21,12:30:00,20666.8
09/01/21,12:35:00,16533.4
09/01/21,12:40:00,16533.4
09/01/21,12:45:00,19289.0
09/01/21,12:50:00,16533.4
09/01/21,12:55:00,16533.4
09/01/21,13:00:00,16533.4
09/01/21,13:05:00,16533.4
09/01/21,13:10:00,16533.4
09/01/21,13:15:00,14466.8
09/01/21,13:20:00,13777.9
09/01/21,13:25:00,14466.8
09/01/21,13:30:00,14466.8
09/01/21,13:35:00,16533.4
09/01/21,13:40:00,12400.1
09/01/21,13:45:00,12400.1
09/01/21,13:50:00,14466.8
09/01/21,13:55:00,12400.1
09/01/21,14:00:00,12400.1
09/01/21,14:05:00,12400.1
09/01/21,14:10:00,10677.8
09/01/21,14:15:00,10677.8
09/01/21,14:20:00,10333.4
09/01/21,14:25:00,10333.4
09/01/21,14:30:00,10677.8
09/01/21,14:35:00,9300.1
09/01/21,14:40:00,9644.5
09/01/21,14:45:00,8611.2
09/01/21,14:50:00,8266.7
09/01/21,14:55:00,9300.1
09/01/21,15:00:00,8266.7
09/01/21,15:05:00,8266.7
09/01/21,15:10:00,7577.8
09/01/21,15:15:00,7577.8
09/01/21,15:20:00,6200.0
09/01/21,15:25:00,6200.0
09/01/21,15:30:00,5511.1
09/01/21,15:35:00,5511.1
09/01/21,15:40:00,5166.7
09/01/21,15:45:00,5166.7
09/01/21,15:50:00,4994.5
09/01/21,15:55:00,4822.3
09/01/21,16:00:00,4477.8
09/01/21,16:05:00,4133.4
09/01/21,16:10:00,4133.4
09/01/21,16:15:00,4133.4
09/01/21,16:20:00,3961.1
09/01/21,16:25:00,3961.1
09/01/21,16:30:00,3788.9
09/01/21,16:35:00,3616.7
09/01/21,16:40:00,3272.2
09/01/21,16:45:00,3100.0
09/01/21,16:50:00,3100.0
09/01/21,16:55:00,2755.6
09/01/21,17:00:00,2755.6
09/01/21,17:05:00,2755.6
09/01/21,17:10:00,2583.4
09/01/21,17:15:00,2411.1
09/01/21,17:20:00,2325.0
09/01/21,17:25:00,2238.9
09/01/21,17:30:00,2066.7
09/01/21,17:35:00,1980.6
09/01/21,17:40:00,1894.5
09/01/21,17:45:00,1636.1
09/01/21,17:50:00,1636.1
09/01/21,17:55:00,1636.1
09/01/21,18:00:00,1550.0
09/01/21,18:05:00,1377.8
09/01/21,18:10:00,1313.2
09/01/21,18:15:00,1280.9
09/01/21,18:20:00,1162.5
09/01/21,18:25:00,1054.9
09/01/21,18:30:00,990.3
09/01/21,18:35:00,893.4
09/01/21,18:40:00,785.8
09/01/21,18:45:00,699.7
09/01/21,18:50:00,678.1
09/01/21,18:55:00,581.3
09/01/21,19:00:00,516.7
09/01/21,19:05:00,398.3
09/01/21,19:10:00,355.2
09/01/21,19:15:00,312.2
09/01/21,19:20:00,258.3
09/01/21,19:25:00,204.5
09/01/21,19:30:00,172.2
09/01/21,19:35:00,129.2
09/01/21,19:40:00,96.9
09/01/21,19:45:00,64.6
09/01/21,19:50:00,32.3
09/01/21,19:55:00,10.8
09/01/21,20:00:00,0.0
09/01/21,20:05:00,0.0
09/01/21,20:10:00,0.0
09/01/21,20:15:00,0.0
09/01/21,20:20:00,0.0
09/01/21,20:25:00,0.0
09/01/21,20:30:00,0.0
09/01/21,20:35:00,0.0
09/01/21,20:40:00,0.0
09/01/21,20:45:00,0.0
09/01/21,20:50:00,0.0
09/01/21,20:55:00,0.0
09/01/21,21:00:00,0.0
09/01/21,21:05:00,0.0
09/01/21,21:10:00,0.0
09/01/21,21:15:00,0.0
09/01/21,21:20:00,0.0
09/01/21,21:25:00,0.0
09/01/21,21:30:00,0.0
09/01/21,21:35:00,0.0
09/01/21,21:40:00,0.0
09/01/21,21:45:00,0.0
09/01/21,21:50:00,0.0
09/01/21,21:55:00,0.0
09/01/21,22:00:00,0.0
09/01/21,22:05:00,0.0
09/01/21,22:10:00,0.0
09/01/21,22:15:00,0.0
09/01/21,22:20:00,0.0
09/01/21,22:25:00,0.0
09/01/21,22:30:00,0.0
09/01/21,22:35:00,0.0
09/01/21,22:40:00,0.0
09/01/21,22:45:00,0.0
09/01/21,22:50:00,0.0
09/01/21,22:55:00,0.0
09/01/21,23:00:00,0.0
09/01/21,23:05:00,0.0
09/01/21,23:10:00,0.0
09/01/21,23:15:00,0.0
09/01/21,23:20:00,0.0
09/01/21,23:25:00,0.0
09/01/21,23:30:00,0.0
09/01/21,23:35:00,0.0
09/01/21,23:40:00,0.0
09/01/21,23:45:00,0.0
09/01/21,23:50:00,0.0
09/01/21,23:55:00,0.0
09/02/21,00:00:00,0.0
09/02/21,00:05:00,0.0
09/02/21,00:10:00,0.0
09/02/21,00:15:00,0.0
09/02/21,00:20:00,0.0
09/02/21,00:25:00,0.0
09/02/21,00:30:00,0.0
09/02/21,00:35:00,0.0
09/02/21,00:40:00,0.0
09/02/21,00:45:00,0.0
09/02/21,00:50:00,0.0
09/02/21,00:55:00,0.0
09/02/21,01:00:00,0.0
09/02/21,01:05:00,0.0
09/02/21,01:10:00,0.0
09/02/21,01:15:00,0.0
09/02/21,01:20:00,0.0
09/02/21,01:25:00,0.0
09/02/21,01:30:00,0.0
09/02/21,01:35:00,0.0
09/02/21,01:40:00,0.0
09/02/21,01:45:00,0.0
09/02/21,01:50:00,0.0
09/02/21,01:55:00,0.0
09/02/21,02:00:00,0.0
09/02/21,02:05:00,0.0
09/02/21,02:10:00,0.0
09/02/21,02:15:00,0.0
09/02/21,02:20:00,0.0
09/02/21,02:25:00,0.0
09/02/21,02:30:00,0.0
09/02/21,02:35:00,0.0
09/02/21,02:40:00,0.0
09/02/21,02:45:00,0.0
09/02/21,02:50:00,0.0
09/02/21,02:55:00,0.0
09/02/21,03:00:00,0.0
09/02/21,03:05:00,0.0
09/02/21,03:10:00,0.0
09/02/21,03:15:00,0.0
09/02/21,03:20:00,0.0
09/02/21,03:25:00,0.0
09/02/21,03:30:00,0.0
09/02/21,03:35:00,0.0
09/02/21,03:40:00,0.0
09/02/21,03:45:00,0.0
09/02/21,03:50:00,0.0
09/02/21,03:55:00,0.0
09/02/21,04:00:00,0.0
09/02/21,04:05:00,0.0
09/02/21,04:10:00,0.0
09/02/21,04:15:00,0.0
09/02/21,04:20:00,0.0
09/02/21,04:25:00,0.0
09/02/21,04:30:00,0.0
09/02/21,04:35:00,0.0
09/02/21,04:40:00,0.0
09/02/21,04:45:00,0.0
09/02/21,04:50:00,0.0
09/02/21,04:55:00,0.0
09/02/21,05:00:00,0.0
09/02/21,05:05:00,0.0
09/02/21,05:10:00,0.0
09/02/21,05:15:00,0.0
09/02/21,05:20:00,0.0
09/02/21,05:25:00,0.0
09/02/21,05:30:00,0.0
09/02/21,05:35:00,0.0
09/02/21,05:40:00,0.0
09/02/21,05:45:00,0.0
09/02/21,05:50:00,0.0
09/02/21,05:55:00,0.0
09/02/21,06:00:00,0.0
09/02/21,06:05:00,0.0
09/02/21,06:10:00,0.0
09/02/21,06:15:00,10.8
09/02/21,06:20:00,53.8
09/02/21,06:25:00,118.4
09/02/21,06:30:00,193.8
09/02/21,06:35:00,322.9
09/02/21,06:40:00,462.9
09/02/21,06:45:00,602.8
09/02/21,06:50:00,775.0
09/02/21,06:55:00,936.5
09/02/21,07:00:00,1044.1
09/02/21,07:05:00,1237.9
09/02/21,07:10:00,1636.1
09/02/21,07:15:00,1636.1
09/02/21,07:20:00,2238.9
09/02/21,07:25:00,2927.8
09/02/21,07:30:00,3616.7
09/02/21,07:35:00,4305.6
09/02/21,07:40:00,5166.7
09/02/21,07:45:00,6200.0
09/02/21,07:50:00,7233.4
09/02/21,07:55:00,8611.2
09/02/21,08:00:00,9300.1
09/02/21,08:05:00,6544.5
09/02/21,08:10:00,8266.7
09/02/21,08:15:00,10677.8
09/02/21,08:20:00,10677.8
09/02/21,08:25:00,27555.7
09/02/21,08:30:00,11022.3
09/02/21,08:35:00,8611.2
09/02/21,08:40:00,24800.2
09/02/21,08:45:00,34444.7
09/02/21,08:50:00,33066.9
09/02/21,08:55:00,19289.0
09/02/21,09:00:00,18600.1
09/02/21,09:05:00,23422.4
09/02/21,09:10:00,24800.2
09/02/21,09:15:00,27555.7
09/02/21,09:20:00,33066.9
09/02/21,09:25:00,26178.0
09/02/21,09:30:00,33066.9
09/02/21,09:35:00,7233.4
09/02/21,09:40:00,1377.8
09/02/21,09:45:00,3616.7
09/02/21,09:50:00,1054.9
09/02/21,09:55:00,2669.5
